"confounder","unadj_1","unadj_2","unadj_3","unadj_4","adj_1","adj_2","adj_3","adj_4"
"etc_open_3w_lag2",-0.5,-0.91,2.59,-1.61,-1.32,-0.3,0.84,-0.71
"n_against_evd_3w_lag2",-0.15,2.23,-1.73,-0.88,0.49,1.06,-0.21,-0.71
"n_frequencies",0.47,-1.88,2.88,-1,-0.03,-0.92,1.15,-0.91
"n_networks",1.18,-2.52,2.9,-0.74,0.2,-1.44,1.85,0.83
"p_epi_link_prev_3w",-0.25,1.65,-1.11,-0.18,0.53,0.76,-0.3,-0.33
"p_nosocomial_prev_3w",0.71,-0.3,0.73,-1.41,0.38,-0.05,0.95,-0.71
"r_sdb_to_pop_prev_3w",-2.6,0.35,3.37,-1.16,0.31,0.3,1.03,-1.13
"rate_events_3w_lag2",-0.46,0.12,0.98,-0.74,-1.06,0.19,0.24,-0.14
"rate_hf",-1.43,-1,2.01,0.54,0.79,-0.49,0.69,0.78
"rate_road_length",-0.06,1.12,-3.76,2.39,0.24,0.76,-1.67,1.94
"vc_3w_lag2",-1.77,0.51,1.92,-0.59,0.49,0.31,0.53,-1.2
