"","Type","Diff.Un","Diff.Adj","M.Threshold"
"distance","Distance",1.97988278931502,0.109403363458312,""
"p_nosocomial_prev_3w","Contin.",0.294458297569084,0.00976186754554598,"Balanced, <0.1"
"p_epi_link_prev_3w","Contin.",0.470143872283586,-0.054613517280811,"Balanced, <0.1"
"vc_3w_lag2","Contin.",-0.0626923332755445,-0.0320573752568403,"Balanced, <0.1"
"etc_open_3w_lag2","Contin.",-0.37762433046859,-0.090526380591785,"Balanced, <0.1"
"n_against_evd_3w_lag2","Contin.",0.155213748323731,0.153929963318919,"Not Balanced, >0.1"
"rate_events_3w_lag2","Contin.",-0.0721779309792478,0.0514826816048126,"Balanced, <0.1"
"n_networks","Contin.",-0.93049942756473,-0.0873404458066335,"Balanced, <0.1"
"n_frequencies","Contin.",-0.31198962198902,-0.0475998696755433,"Balanced, <0.1"
"rate_hf","Contin.",-0.64734979665146,0.0296487499560256,"Balanced, <0.1"
"rate_road_length","Contin.",0.281182901262527,0.0411061075484022,"Balanced, <0.1"
"r_sdb_to_pop_prev_3w","Contin.",-0.669079720719958,-0.0159911670311446,"Balanced, <0.1"
