"confounder","unadj_1","unadj_2","unadj_3","adj_1","adj_2","adj_3"
"etc_open_4w_lag2",-16.01,4.47,9.09,-1.48,2.69,0.03
"n_against_evd_4w_lag2",-4.6,3.63,-0.23,-1.37,0.83,-0.19
"n_frequencies",-4.46,5.3,-0.51,-0.61,1.32,-0.01
"n_networks",-5.81,1.26,4.87,-0.6,1.7,-0.16
"n_suspensions_4w_lag2",-3,2.65,-0.45,-0.39,0.49,0.69
"p_epi_link_prev",0.24,2.37,-2.49,-0.55,0.71,0.12
"p_nosocomial_prev",-0.25,2.37,-2.51,-0.15,1.06,-0.9
"rate_events_4w_lag2",-0.03,-4.45,4.2,0.68,-1.45,0.88
"rate_hf",-5.7,1.69,4.42,-0.81,1.16,1.87
"rate_road_length",0.97,-1.28,0.4,0.16,0.19,0.26
"vcp_1w_lag0",-4.71,1.08,3.46,0.29,0.44,0.28
