"confounder","unadj_1","unadj_2","unadj_3","adj_1","adj_2","adj_3"
"etc_open_3w_lag2",3.53,0.83,-5.23,0.15,0.84,-0.51
"n_against_evd_3w_lag2",-2.75,-0.79,2.68,0.06,-0.82,0.41
"n_frequencies",-5.4,0.74,4.52,-0.07,-0.15,0.66
"n_networks",-5.37,0.52,5.58,-0.27,-0.55,1.07
"p_epi_link_curr_3w",3.28,-1.1,-2.11,0.06,-0.46,-1.25
"p_nosocomial_curr_3w",3.63,-1.55,-3.49,0.71,-0.48,-1.61
"r_sdb_to_pop_curr_3w",-3.61,3.94,-0.8,-0.15,1.3,-0.92
"rate_events_3w_lag2",4.98,-1.34,-4.61,0.29,-0.06,-0.06
"rate_hf",-1.27,-0.11,1.67,0.12,-0.88,0.22
"rate_road_length",5.15,-4.25,-1.07,0.04,-1.72,0.82
"vc_3w_lag2",-0.51,-0.01,0.57,0.16,0.4,-1.38
