"","Type","Diff.Un","Diff.Adj","M.Threshold"
"distance","Distance",1.83348542683071,0.100772095360582,""
"p_nosocomial_curr_3w","Contin.",0.401960947843539,0.0437681244079958,"Balanced, <0.1"
"p_epi_link_curr_3w","Contin.",0.414923819938116,-0.0952823669925614,"Balanced, <0.1"
"vc_3w_lag2","Contin.",0.0864561056406631,0.103492431780513,"Not Balanced, >0.1"
"etc_open_3w_lag2","Contin.",-0.139162662588035,-0.0757274783870797,"Balanced, <0.1"
"n_against_evd_3w_lag2","Contin.",0.0917558418968478,0.305153691875989,"Not Balanced, >0.1"
"rate_events_3w_lag2","Contin.",0.0656707306641676,-0.00491897809786361,"Balanced, <0.1"
"n_networks","Contin.",-0.94743761661043,-0.0113634432486092,"Balanced, <0.1"
"n_frequencies","Contin.",-0.215021180340081,-0.101049709817075,"Not Balanced, >0.1"
"rate_hf","Contin.",-0.44150928761542,0.0885521459068739,"Balanced, <0.1"
"rate_road_length","Contin.",0.3785626844795,-0.0143043279984448,"Balanced, <0.1"
"r_sdb_to_pop_curr_3w","Contin.",-0.723794961170177,-0.130607809973426,"Not Balanced, >0.1"
