"hz","date","epi_year","epi_week","day","r_mean","r_se","r_lci","r_uci","cases"
"Beni",2018-08-13,2018,32,8,NA,NA,NA,NA,2
"Beni",2018-08-20,2018,33,15,NA,NA,NA,NA,3
"Beni",2018-08-27,2018,34,22,1.27193158816797,0.2409697873851,0.833333333333333,1.75,5
"Beni",2018-09-03,2018,35,29,1.85553665779292,0.748346652354942,0.333333333333333,3.33333333333333,12
"Beni",2018-09-10,2018,36,36,2.00307952217195,0.365875275317283,1.33333333333333,2.77777777777778,2
"Beni",2018-09-17,2018,37,43,1.58019897488259,0.269896901731044,1.09833333333333,2.13333333333333,9
"Beni",2018-09-24,2018,38,50,1.33906018557361,0.179032025188784,0.958333333333333,1.66666666666667,9
"Beni",2018-10-01,2018,39,57,1.16091540843011,0.200075329244388,0.80952380952381,1.57142857142857,22
"Beni",2018-10-08,2018,40,64,0.920110179774993,0.171057390669439,0.629347826086957,1.26086956521739,20
"Beni",2018-10-15,2018,41,71,0.748276488040708,0.12053029703585,0.483870967741935,0.984677419354838,18
"Beni",2018-10-22,2018,42,78,0.711138890546732,0.153840555770054,0.428571428571429,1.025,28
"Beni",2018-10-29,2018,43,85,0.729719321966941,0.17315993702155,0.444444444444444,1.11111111111111,17
"Beni",2018-11-05,2018,44,92,0.675612967120115,0.211029645944306,0.333333333333333,1.08333333333333,17
"Beni",2018-11-12,2018,45,99,0.613874327779491,0.161393618972171,0.333333333333333,0.933333333333333,12
"Beni",2018-11-19,2018,46,106,0.592368745408936,0.184429687444721,0.272727272727273,0.95681818181818,14
"Beni",2018-11-26,2018,47,113,0.495904861326944,0.162643492988878,0.181818181818182,0.818181818181818,8
"Beni",2018-12-03,2018,48,120,0.439131941419634,0.231526547977051,0,0.92083333333333,10
"Beni",2018-12-10,2018,49,127,0.416287749256873,0.237648803716357,0,0.904999999999995,5
"Beni",2018-12-17,2018,50,134,0.485389068095195,0.284933983142585,0,1,4
"Beni",2018-12-24,2018,51,141,1.01735425545138,0.598912675425701,0,2.5,4
"Beni",2018-12-31,2018,52,148,2.21822929293856,1.23055781867013,0,5,2
"Beni",2019-01-07,2019,1,155,NA,NA,NA,NA,1
"Beni",2019-01-14,2019,2,162,NA,NA,NA,NA,0
"Beni",2019-01-21,2019,3,169,NA,NA,NA,NA,1
"Beni",2019-01-28,2019,4,176,NA,NA,NA,NA,7
"Beni",2019-02-04,2019,5,183,NA,NA,NA,NA,0
"Beni",2019-02-11,2019,6,190,NA,NA,NA,NA,1
"Beni",2019-02-18,2019,7,197,NA,NA,NA,NA,1
"Beni",2019-02-25,2019,8,204,NA,NA,NA,NA,0
"Beni",2019-03-04,2019,9,211,NA,NA,NA,NA,1
"Beni",2019-03-11,2019,10,218,NA,NA,NA,NA,0
"Beni",2019-03-18,2019,11,225,NA,NA,NA,NA,1
"Beni",2019-03-25,2019,12,232,NA,NA,NA,NA,8
"Beni",2019-04-01,2019,13,239,1.07741232171484,0.329272829572423,0.428571428571429,1.71428571428571,7
"Beni",2019-04-08,2019,14,246,1.62089960391091,0.478565659215494,0.8,2.6,6
"Beni",2019-04-15,2019,15,253,2.01830870632421,0.468982440031731,1.2,3,4
"Beni",2019-04-22,2019,16,260,1.51156096239398,0.411472923620158,0.714285714285714,2.28571428571429,4
"Beni",2019-04-29,2019,17,267,1.14769492018453,0.180912329712721,0.8125,1.5,4
"Beni",2019-05-06,2019,18,274,0.773540649797451,0.165546557004804,0.470588235294118,1.11764705882353,15
"Beni",2019-05-13,2019,19,281,1.12570781182314,0.330815095263969,0.5,1.875,17
"Beni",2019-05-20,2019,20,288,1.92091761957184,0.417940873374536,1.14285714285714,2.71428571428571,7
"Beni",2019-05-27,2019,21,295,2.53043089872782,1.03169947543615,0.5,4.5,7
"Beni",2019-06-03,2019,22,302,2.02166815194075,0.228126774287659,1.57142857142857,2.42857142857143,2
