"hz","epi_year","epi_week","territory","date","province","pop","n_sdb_all","n_outcome","n_success","n_delay","n_timely","n_vaccinated","n_vacc_status","against_evd","suspend_activities","n_events","fatalities","open","n_hf","n_networks","n_frequencies","road_length","n_mines","day","r_mean","r_se","r_lci","r_uci","confirmed","probable","cases","dead","nosocomial","contact","cases_prev","cases_curr","cases_wt","p_success_prev","p_success_curr","p_timely_prev","p_timely_curr","r_sdb_to_pop_prev","r_sdb_to_pop_curr","p_nosocomial_prev","p_nosocomial_curr","p_epi_link_prev","p_epi_link_curr","vcp_1w_lag0","vcp_1w_lag2","vcp_2w_lag0","vcp_2w_lag2","vcp_4w_lag0","vcp_4w_lag2","n_against_evd_1w_lag0","n_suspensions_1w_lag0","n_against_evd_1w_lag2","n_suspensions_1w_lag2","n_against_evd_2w_lag0","n_suspensions_2w_lag0","n_against_evd_2w_lag2","n_suspensions_2w_lag2","n_against_evd_4w_lag0","n_suspensions_4w_lag0","n_against_evd_4w_lag2","n_suspensions_4w_lag2","rate_events_1w_lag0","rate_fatalities_1w_lag0","rate_events_1w_lag2","rate_fatalities_1w_lag2","rate_events_2w_lag0","rate_fatalities_2w_lag0","rate_events_2w_lag2","rate_fatalities_2w_lag2","rate_events_4w_lag0","rate_fatalities_4w_lag0","rate_events_4w_lag2","rate_fatalities_4w_lag2","etc_open","etc_open_1w_lag0","etc_open_1w_lag0_cat","etc_open_1w_lag2","etc_open_1w_lag2_cat","etc_open_2w_lag0","etc_open_2w_lag0_cat","etc_open_2w_lag2","etc_open_2w_lag2_cat","etc_open_4w_lag0","etc_open_4w_lag0_cat","etc_open_4w_lag2","etc_open_4w_lag2_cat","rate_hf","rate_road_length","rate_mines","p_success_prev_cat","p_success_curr_cat","p_timely_prev_cat","p_timely_curr_cat","r_sdb_to_pop_prev_cat","r_sdb_to_pop_curr_cat","p_nosocomial_prev_cat","p_nosocomial_curr_cat","p_epi_link_prev_cat","p_epi_link_curr_cat","vcp_1w_lag0_cat","vcp_1w_lag2_cat","vcp_2w_lag0_cat","vcp_2w_lag2_cat","vcp_4w_lag0_cat","vcp_4w_lag2_cat","n_against_evd_1w_lag0_cat","n_against_evd_1w_lag2_cat","n_against_evd_2w_lag0_cat","n_against_evd_2w_lag2_cat","n_against_evd_4w_lag0_cat","n_against_evd_4w_lag2_cat","n_suspensions_1w_lag0_cat","n_suspensions_1w_lag2_cat","n_suspensions_2w_lag0_cat","n_suspensions_2w_lag2_cat","n_suspensions_4w_lag0_cat","n_suspensions_4w_lag2_cat","rate_events_1w_lag0_cat","rate_events_1w_lag2_cat","rate_events_2w_lag0_cat","rate_events_2w_lag2_cat","rate_events_4w_lag0_cat","rate_events_4w_lag2_cat","rate_fatalities_1w_lag0_cat","rate_fatalities_1w_lag2_cat","rate_fatalities_2w_lag0_cat","rate_fatalities_2w_lag2_cat","rate_fatalities_4w_lag0_cat","rate_fatalities_4w_lag2_cat","n_networks_cat","n_frequencies_cat","rate_hf_cat","rate_road_length_cat","rate_mines_cat","ln_r_mean","p_curr"
"Beni",2018,32,"Beni",2018-08-13,"North Kivu",408065,2,0,0,2,0,0,2,0,0,4,19,NA,276,4,17,87.436663796,41,8,NA,NA,NA,NA,2,0,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98023599181503,4.65612096112139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.636283435237,21.4271412142673,10.0474189161041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"< 25%",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0.1 to 4.9",NA,NA,NA,NA,NA,"0.1 to 9.9",NA,NA,NA,NA,NA,"4 networks","10-19 frequencies",">= 50.0","< 200 Km","some mining",NA,NA
"Beni",2018,33,"Beni",2018-08-20,"North Kivu",408065,7,1,0,7,0,0,3,0,0,2,3,"yes",276,4,17,87.436663796,41,15,NA,NA,NA,NA,1,2,3,1,1,2,NA,5,NA,NA,0,NA,0,NA,1.10276549079191,NA,0.2,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0.490117995907515,0.735176993861272,NA,NA,1.47035398772254,5.39129795498266,NA,NA,NA,NA,NA,NA,1,1,"yes",NA,NA,0.5,"yes",NA,NA,NA,NA,NA,NA,67.636283435237,21.4271412142673,10.0474189161041,NA,"< 0.25",NA,"< 1.00",NA,"0.01 to 1.99",NA,"> 0%",NA,"33 to 66%","< 25%",NA,"< 25%",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0.1 to 4.9",NA,"0.1 to 4.9",NA,NA,NA,"0.1 to 9.9",NA,"0.1 to 9.9",NA,NA,NA,"4 networks","10-19 frequencies",">= 50.0","< 200 Km","some mining",NA,NA
"Beni",2018,34,"Beni",2018-08-27,"North Kivu",408065,7,2,0,7,0,0,7,0,0,3,22,NA,276,4,17,87.436663796,41,22,1.27193158816797,0.2409697873851,0.833333333333333,1.75,3,2,5,2,1,3,NA,8,NA,NA,0,NA,0,NA,1.7154129856763,NA,0.25,NA,0.625,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.735176993861272,5.39129795498266,0.98023599181503,4.65612096112139,1.22529498976879,6.12647494884393,NA,NA,NA,NA,NA,NA,1,1,"yes",0,"no",1,"yes",NA,NA,NA,NA,NA,NA,67.636283435237,21.4271412142673,10.0474189161041,NA,"< 0.25",NA,"< 1.00",NA,"0.01 to 1.99",NA,"> 0%",NA,"33 to 66%","< 25%","< 25%","< 25%",NA,NA,NA,"0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,"0.1 to 4.9","0.1 to 4.9","0.1 to 4.9",NA,NA,NA,"0.1 to 9.9","0.1 to 9.9","0.1 to 9.9",NA,NA,NA,"4 networks","10-19 frequencies",">= 50.0","< 200 Km","some mining",0.240536680584765,NA
"Beni",2018,35,"Beni",2018-09-03,"North Kivu",408065,8,2,0,8,0,0,10,0,0,4,2,NA,276,4,17,87.436663796,41,29,1.85553665779292,0.748346652354942,0.333333333333333,3.33333333333333,11,1,12,11,2,8,5,17,4.69041575982343,0,0,0,0,1.10276549079191,1.83794248465318,0.2,0.176470588235294,0.6,0.647058823529412,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0.98023599181503,0.490117995907515,0.490117995907515,0.735176993861272,1.7154129856763,5.88141595089018,1.47035398772254,5.39129795498266,3.18576697339885,11.2727139058728,NA,NA,1,1,"yes",1,"yes",1,"yes",0.5,"yes",0.75,"yes",NA,NA,67.636283435237,21.4271412142673,10.0474189161041,"< 0.25","< 0.25","< 1.00","< 1.00","0.01 to 1.99","0.01 to 1.99","> 0%","> 0%","33 to 66%","33 to 66%","< 25%","< 25%","< 25%","< 25%","< 25%",NA,"0","0","0","0","0",NA,"0","0","0","0","0",NA,"0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9",NA,"0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9",">= 10.0",NA,"4 networks","10-19 frequencies",">= 50.0","< 200 Km","some mining",0.618173957611653,0.772727272727273
"Beni",2018,36,"Beni",2018-09-10,"North Kivu",408065,6,2,2,6,0,0,3,0,0,4,3,NA,276,4,17,87.436663796,41,36,2.00307952217195,0.365875275317283,1.33333333333333,2.77777777777778,1,1,2,1,1,1,8,14,4.69041575982343,0,0.5,0,0,1.7154129856763,1.7154129856763,0.25,0.214285714285714,0.625,0.642857142857143,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0.98023599181503,0.735176993861272,0.735176993861272,5.39129795498266,1.96047198363006,1.22529498976879,1.22529498976879,6.12647494884393,3.18576697339885,7.35176993861272,NA,NA,1,1,"yes",1,"yes",1,"yes",1,"yes",1,"yes",NA,NA,67.636283435237,21.4271412142673,10.0474189161041,"< 0.25","0.50 to 0.74","< 1.00","< 1.00","0.01 to 1.99","0.01 to 1.99","> 0%","> 0%","33 to 66%","33 to 66%","< 25%","< 25%","< 25%","< 25%","< 25%",NA,"0","0","0","0","0",NA,"0","0","0","0","0",NA,"0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9",NA,"0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9",NA,"4 networks","10-19 frequencies",">= 50.0","< 200 Km","some mining",0.694685757429272,0.636363636363636
"Beni",2018,37,"Beni",2018-09-17,"North Kivu",408065,7,2,0,7,0,0,8,0,0,4,1,NA,276,4,17,87.436663796,41,43,1.58019897488259,0.269896901731044,1.09833333333333,2.13333333333333,8,1,9,6,1,4,17,11,5.29150262212918,0,0.5,0,0,1.83794248465318,1.59288348669942,0.176470588235294,0.181818181818182,0.647058823529412,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98023599181503,0.245058997953757,0.98023599181503,0.490117995907515,1.96047198363006,0.98023599181503,1.7154129856763,5.88141595089018,3.67588496930636,6.86165194270521,3.18576697339885,11.2727139058728,1,1,"yes",1,"yes",1,"yes",1,"yes",1,"yes",0.75,"yes",67.636283435237,21.4271412142673,10.0474189161041,"< 0.25","0.50 to 0.74","< 1.00","< 1.00","0.01 to 1.99","0.01 to 1.99","> 0%","> 0%","33 to 66%","33 to 66%","< 25%","< 25%","< 25%","< 25%","< 25%","< 25%","0","0","0","0","0","0","0","0","0","0","0","0","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9",">= 10.0","4 networks","10-19 frequencies",">= 50.0","< 200 Km","some mining",0.457550772579916,0.392857142857143
"Beni",2018,38,"Beni",2018-09-24,"North Kivu",408065,1,1,0,1,0,1,12,0,0,4,18,NA,276,4,17,87.436663796,41,50,1.33906018557361,0.179032025188784,0.958333333333333,1.66666666666667,8,1,9,7,0,3,14,18,5.65685424949238,0.5,0,0,0,1.7154129856763,0.98023599181503,0.214285714285714,0.0555555555555556,0.642857142857143,0.388888888888889,0.377358490566038,0,0.25974025974026,0,0.172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98023599181503,4.41106196316763,0.98023599181503,0.735176993861272,1.96047198363006,4.65612096112139,1.96047198363006,1.22529498976879,3.92094396726012,5.88141595089018,3.18576697339885,7.35176993861272,1,1,"yes",1,"yes",1,"yes",1,"yes",1,"yes",1,"yes",67.636283435237,21.4271412142673,10.0474189161041,"0.50 to 0.74","< 0.25","< 1.00","< 1.00","0.01 to 1.99","0.01 to 1.99","> 0%","> 0%","33 to 66%","33 to 66%","25 to 49%","< 25%","25 to 49%","< 25%","< 25%","< 25%","0","0","0","0","0","0","0","0","0","0","0","0","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","4 networks","10-19 frequencies",">= 50.0","< 200 Km","some mining",0.291968013849464,0.5625
"Beni",2018,39,"Beni",2018-10-01,"North Kivu",408065,5,1,0,5,0,0,20,0,0,3,1,NA,276,4,17,87.436663796,41,57,1.16091540843011,0.200075329244388,0.80952380952381,1.57142857142857,21,1,22,14,3,14,11,31,6.48074069840786,0.5,0,0,0,1.59288348669942,0.735176993861272,0.181818181818182,0.0967741935483871,0.454545454545455,0.548387096774194,0,0,0.176991150442478,0,0.136986301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735176993861272,0.245058997953757,0.98023599181503,0.245058997953757,1.7154129856763,4.65612096112139,1.96047198363006,0.98023599181503,3.67588496930636,5.63635695293642,3.67588496930636,6.86165194270521,1,1,"yes",1,"yes",1,"yes",1,"yes",1,"yes",1,"yes",67.636283435237,21.4271412142673,10.0474189161041,"0.50 to 0.74","< 0.25","< 1.00","< 1.00","0.01 to 1.99","0.01 to 1.99","> 0%","> 0%","33 to 66%","33 to 66%","< 25%","< 25%","< 25%","< 25%","< 25%","< 25%","0","0","0","0","0","0","0","0","0","0","0","0","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","4 networks","10-19 frequencies",">= 50.0","< 200 Km","some mining",0.149208839105289,0.738095238095238
"Beni",2018,40,"Beni",2018-10-08,"North Kivu",408065,10,3,0,10,0,0,21,0,0,2,6,NA,276,4,17,87.436663796,41,64,0.920110179774993,0.171057390669439,0.629347826086957,1.26086956521739,20,0,20,14,4,13,18,42,7.74596669241483,0,0,0,0,0.98023599181503,1.83794248465318,0.0555555555555556,0.166666666666667,0.388888888888889,0.642857142857143,0,0.377358490566038,0,0.25974025974026,0.1,0.172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0.490117995907515,1.47035398772254,0.98023599181503,4.41106196316763,1.22529498976879,1.7154129856763,1.96047198363006,4.65612096112139,3.18576697339885,6.37153394679769,3.92094396726012,5.88141595089018,1,1,"yes",1,"yes",1,"yes",1,"yes",1,"yes",1,"yes",67.636283435237,21.4271412142673,10.0474189161041,"< 0.25","< 0.25","< 1.00","< 1.00","0.01 to 1.99","0.01 to 1.99","> 0%","> 0%","33 to 66%","33 to 66%","< 25%","25 to 49%","< 25%","25 to 49%","< 25%","< 25%","0","0","0","0","0","0","0","0","0","0","0","0","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","4 networks","10-19 frequencies",">= 50.0","< 200 Km","some mining",-0.0832618554847898,0.7
"Beni",2018,41,"Beni",2018-10-15,"North Kivu",408065,27,4,2,27,0,0,19,0,0,6,1,NA,276,4,17,87.436663796,41,71,0.748276488040708,0.12053029703585,0.483870967741935,0.984677419354838,18,0,18,12,0,7,31,38,8.30662386291807,0,0.285714285714286,0,0,0.735176993861272,4.53359146214451,0.0967741935483871,0.105263157894737,0.548387096774194,0.526315789473684,0,0,0,0.176991150442478,0.0858369098712446,0.136986301369863,0,0,0,0,0,0,0,0,0,0,0,0,1.47035398772254,0.245058997953757,0.735176993861272,0.245058997953757,1.96047198363006,1.7154129856763,1.7154129856763,4.65612096112139,3.67588496930636,6.37153394679769,3.67588496930636,5.63635695293642,1,1,"yes",1,"yes",1,"yes",1,"yes",1,"yes",1,"yes",67.636283435237,21.4271412142673,10.0474189161041,"< 0.25","0.25 to 0.49","< 1.00","< 1.00","0.01 to 1.99","4.00 to 5.99","> 0%","> 0%","33 to 66%","33 to 66%","< 25%","< 25%","< 25%","< 25%","< 25%","< 25%","0","0","0","0","0","0","0","0","0","0","0","0","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 4.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","0.1 to 9.9","4 networks","10-19 frequencies",">= 50.0","< 200 Km","some mining",-0.289982732888311,0.550724637681159
